"village";"slug";"code_postal";"coordonnees";"region";"country";"year"
"Aubechies";"aubechies";"NULL";"50.567,3.667";"";"Belgique";"NULL"
"Celles";"celles";"NULL";"50.2298284,5.01543";"";"Belgique";"NULL"
"Chardeneux";"chardeneux";"NULL";"50.37182,5.35951";"";"Belgique";"NULL"
"Clermont-sur-Berwinne";"clermont-sur-berwinne";"NULL";"50.666236,5.8817619";"";"Belgique";"NULL"
"Crupet";"crupet";"NULL";"50.3507246,4.9685315";"";"Belgique";"NULL"
"Fagnolle";"fagnolle";"NULL";"50.10493,4.56083";"";"Belgique";"NULL"
"Falaën";"falaen";"NULL";"50.2855873,4.7957727";"";"Belgique";"NULL"
"Gros-Fays";"gros-fays";"NULL";"49.8704212,4.9831444";"";"Belgique";"NULL"
"Laforêt";"laforet";"NULL";"49.8533323,4.9120261";"";"Belgique";"NULL"
"Lompret";"lompret";"NULL";"50.0723775,4.3830032";"";"Belgique";"NULL"
"Mélin";"melin";"NULL";"50.74271,4.84285";"";"Belgique";"NULL"
"Mozet";"mozet";"NULL";"50.4469403,5.0046676";"";"Belgique";"NULL"
"Nobressart";"nobressart";"NULL";"49.7399967,5.7178818";"";"Belgique";"NULL"
"Ny";"ny";"NULL";"50.284525,5.480682";"";"Belgique";"NULL"
"Olne";"olne";"NULL";"50.5900502,5.7466036";"";"Belgique";"NULL"
"Ragnies";"ragnies";"NULL";"50.3061069,4.2690998";"";"Belgique";"NULL"
"Sohier";"sohier";"NULL";"50.06833,5.07";"";"Belgique";"NULL"
"Soiron";"soiron";"NULL";"50.5931291,5.7835057";"";"Belgique";"NULL"
"Sosoye";"sosoye";"NULL";"50.3017611,4.7783031";"";"Belgique";"NULL"
"Soulme";"soulme";"NULL";"50.18873,4.73735";"";"Belgique";"NULL"
"Thon-Samson";"thon-samson";"NULL";"50.4633535,5.0145871";"";"Belgique";"NULL"
"Torgny";"torgny";"NULL";"49.5080762,5.4740405";"";"Belgique";"NULL"
"Vierves-sur-Viroin";"vierves-sur-viroin";"NULL";"50.0802842,4.635318";"";"Belgique";"NULL"
"Wéris";"weris";"NULL";"50.32612,5.53048";"";"Belgique";"NULL"
