village;slug;code_postal;coordonnees;region;country;year
Aínsa;ainsa;;42.414694,0.140381;;Espana;
Albarracín;albarracin;;40.407558,-1.443876;;Espana;
AlcaládelJúcar;alcaladeljúcar;;39.191786,-1.429577;;Espana;
Almagro;almagro;;38.888431,-3.711781;;Espana;
Alquézar;alquezar;;42.173010,0.025362;;Espana;
Anento;anento;;41.648823,-0.889085;;Espana;
Ansó;anso;;42.755658,-0.828961;;Espana;
Ayllón;ayllon;;41.420019,-3.376055;;Espana;
BárcenaMayor;barcenamayor;;43.143767,-4.193300;;Espana;
Calaceite;calaceite;;41.015848,0.187639;;Espana;
Candelario;candelario;;40.368294,-5.744319;;Espana;
Cantavieja;cantavieja;;40.525361,-0.404861;;Espana;
ElCastelldeGuadalest;elcastelldeguadalest;;38.676964,-0.198324;;Espana;
Frías;frias;;42.762311,-3.294207;;Espana;
Frigiliana;frigiliana;;36.790875,-3.894706;;Espana;
LaAlberca;laalberca;;40.489267,-6.110723;;Espana;
Llastres;llastres;;43.513920,-5.270550;;Espana;
LucainenadelasTorres;lucainenadelastorres;;37.040793,-2.201005;;Espana;
Maderuelo;maderuelo;;41.483685,-3.524356;;Espana;
Medinaceli;medinaceli;;41.171721,-2.433843;;Espana;
Mogarraz;mogarraz;;40.492678,-6.051706;;Espana;
Mojácar;mojacar;;37.140279,-1.850733;;Espana;
Morella;morella;;40.618139,-0.101549;;Espana;
Pampaneira;pampaneira;;36.939625,-3.360934;;Espana;
Pedraza;pedraza;;41.130710,-3.811474;;Espana;
Peñíscola;peniscola;;40.366883,0.391317;;Espana;
Puertomingalvo;puertomingalvo;;40.264862,-0.459967;;Espana;
RubielosdeMora;rubielosdemora;;40.190127,-0.654184;;Espana;
SantillanadelMar;santillanadelmar;;43.387333,-4.106609;;Espana;
Tejeda;tejeda;;27.996224,-15.615229;;Espana;
Urueña;uruena;;41.728335,-5.201225;;Espana;
Valderrobres;valderrobres;;40.873333,0.153595;;Espana;
ValverdedelosArroyos;valverdedelosarroyos;;41.129188,-3.232910;;Espana;
VejerdelaFrontera;vejerdelafrontera;;36.252034,-5.966736;;Espana;
Vilafamés;vilafames;;40.113899,-0.051908;;Espana;
