"village";"slug";"code_postal";"coordonnees";"region";"country";"year"
"Abbateggio";"abbateggio";"NULL";"42.2245154,14.0136461";"Abruzzo";"Italia";"NULL"
"Acerenza";"acerenza";"NULL";"40.79251,15.9377";"Basilicata";"Italia";"NULL"
"Acquasparta";"acquasparta";"NULL";"42.687990,12.549858";"Umbria";"Italia";"NULL"
"Aieta";"aieta";"NULL";"39.928728,15.823567";"Calabria";"Italia";"NULL"
"Alberona";"alberona";"NULL";"41.43387,15.12409";"Puglia";"Italia";"NULL"
"Albori";"albori";"NULL";"40.67048,14.70838";"Campania";"Italia";"NULL"
"Altomonte";"altomonte";"NULL";"39.6967,16.125386953354";"Calabria";"Italia";"NULL"
"Amatrice";"amatrice";"NULL";"42.629034,13.289651";"Lazio";"Italia";"NULL"
"Anghiari";"anghiari";"NULL";"43.54187,12.0605";"Toscana";"Italia";"NULL"
"Anversa degli Abruzzi";"anversa degli abruzzi";"NULL";"41.995,13.80367";"Abruzzo";"Italia";"NULL"
"Apricale";"apricale";"NULL";"43.881934,7.656083";"Liguria";"Italia";"NULL"
"Arqua Petrarca";"arqua petrarca";"NULL";"45.26996,11.71683";"Veneto";"Italia";"NULL"
"Arrone";"arrone";"NULL";"42.583959169488,12.768151760101";"Umbria";"Italia";"NULL"
"Asolo";"asolo";"NULL";"45.79389,11.91247";"Veneto";"Italia";"NULL"
"Atrani";"atrani";"NULL";"40.63792,14.60386";"Campania";"Italia";"NULL"
"Atzara";"atzara";"NULL";"40.010787,9.073105";"Sardegna";"Italia";"NULL"
"Barga";"barga";"NULL";"44.07523,10.48152";"Toscana";"Italia";"NULL"
"Bettona";"bettona";"NULL";"43.013371238522,12.484406232834";"Umbria";"Italia";"NULL"
"Bevagna";"bevagna";"NULL";"42.93497,12.60933";"Umbria";"Italia";"NULL"
"Bienno";"bienno";"NULL";"45.93656,10.29458";"Lombardia";"Italia";"NULL"
"Bobbio";"bobbio";"NULL";"44.771721086403,9.3871736526489";"Emilia Romagna";"Italia";"NULL"
"Borghetto";"borghetto";"NULL";"45.35744,10.71665";"Veneto";"Italia";"NULL"
"Borgio Verezzi";"borgio verezzi";"NULL";"44.158517256382,8.30925822258";"Liguria";"Italia";"NULL"
"Borgo antico di Sant´Antonio di Perugia ospit";"borgo antico di sant´antonio di perugia ospite onorario 2014/2015";"NULL";"43.114894,12.38843";"Umbria";"Italia";"NULL"
"Bosa";"bosa";"NULL";"40.297358480725,8.4996092319489";"Sardegna";"Italia";"NULL"
"Bova";"bova";"NULL";"37.99625,15.93291";"Calabria";"Italia";"NULL"
"Boville Ernica";"boville ernica";"NULL";"41.6427619,13.4732421";"Lazio";"Italia";"NULL"
"Bovino";"bovino";"NULL";"41.25089,15.34237";"Puglia";"Italia";"NULL"
"Brisighella";"brisighella";"NULL";"44.22263,11.77604";"Emilia Romagna";"Italia";"NULL"
"Brugnato";"brugnato";"NULL";"44.236644194241,9.7217631340027";"Liguria";"Italia";"NULL"
"Bugnara";"bugnara";"NULL";"42.021840739812,13.861752748489";"Abruzzo";"Italia";"NULL"
"Buonconvento";"buonconvento";"NULL";"43.13432,11.48473";"Toscana";"Italia";"NULL"
"Campo Ligure";"campo ligure";"NULL";"44.536768138018,8.7009358406067";"Liguria";"Italia";"NULL"
"Campodimele";"campodimele";"NULL";"41.38724,13.53218";"Lazio";"Italia";"NULL"
"Canale di Tenno";"canale di tenno";"NULL";"45.92913,10.82454";"Trentino Alto Adige";"Italia";"NULL"
"Canterano";"canterano";"NULL";"41.942418,13.037999";"Lazio";"Italia";"NULL"
"Caprarola";"caprarola";"NULL";"42.327458,12.23721";"Lazio";"Italia";"NULL"
"Caramanico Terme";"caramanico terme";"NULL";"42.162513,14.008584";"Abruzzo";"Italia";"NULL"
"Carloforte";"carloforte";"NULL";"39.145988,8.305553";"Sardegna";"Italia";"NULL"
"Cassinetta di Lugagnano";"cassinetta di lugagnano";"NULL";"45.426648,8.909712";"Lombardia";"Italia";"NULL"
"Castel del Monte";"castel del monte";"NULL";"42.36452,13.72579";"Abruzzo";"Italia";"NULL"
"Castel di Tora";"castel di tora";"NULL";"42.21583,12.96376";"Lazio";"Italia";"NULL"
"Castel Gandolfo";"castel gandolfo";"NULL";"41.74997,12.64851";"Lazio";"Italia";"NULL"
"Castelfranco Piandiscò borgo di Castelfranco";"castelfranco piandiscò borgo di castelfranco";"NULL";"43.62121,11.55704";"Toscana";"Italia";"NULL"
"Castellabate";"castellabate";"NULL";"40.28313,14.95886";"Campania";"Italia";"NULL"
"Castellaro Lagusello";"castellaro lagusello";"NULL";"45.37511,10.63822";"Lombardia";"Italia";"NULL"
"Castelli";"castelli";"NULL";"42.48887,13.71153";"Abruzzo";"Italia";"NULL"
"Castell’Arquato";"castell’arquato";"NULL";"44.85337,9.8707";"Emilia Romagna";"Italia";"NULL"
"Castelmezzano";"castelmezzano";"NULL";"40.5292,16.04505";"Basilicata";"Italia";"NULL"
"Castelmola";"castelmola";"NULL";"37.8591,15.27794";"Sicilia";"Italia";"NULL"
"Castelponzone";"castelponzone";"NULL";"45.06364,10.31388";"Lombardia";"Italia";"NULL"
"Castelsardo";"castelsardo";"NULL";"40.91283,8.71315";"Sardegna";"Italia";"NULL"
"Castelvecchio";"castelvecchio";"NULL";"44.13064,8.11656";"Liguria";"Italia";"NULL"
"Castiglione del Lago";"castiglione del lago";"NULL";"43.12798,12.04674";"Umbria";"Italia";"NULL"
"Castiglione di Garfagnana";"castiglione di garfagnana";"NULL";"44.152128,10.411856";"Toscana";"Italia";"NULL"
"Castiglione di Sicilia";"castiglione di sicilia";"NULL";"37.891654,15.119247";"Sicilia";"Italia";"NULL"
"Castroreale";"castroreale";"NULL";"38.100569,15.212202";"Sicilia";"Italia";"NULL"
"Cefalù";"cefalù";"NULL";"38.03952,14.02193";"Sicilia";"Italia";"NULL"
"Cervo";"cervo";"NULL";"43.92725,8.11522";"Liguria";"Italia";"NULL"
"Cetona";"cetona";"NULL";"42.96522,11.90045";"Toscana";"Italia";"NULL"
"Chianale";"chianale";"NULL";"44.621693,7.032402";"Piemonte";"Italia";"NULL"
"Chianalea di Scilla";"chianalea di scilla";"NULL";"38.2535,15.715";"Calabria";"Italia";"NULL"
"Chiusa";"chiusa";"NULL";"46.63967,11.56491";"Trentino Alto Adige";"Italia";"NULL"
"Cingoli";"cingoli";"NULL";"43.375927470487,13.203206062317";"Marche";"Italia";"NULL"
"Cison di Valmarino";"cison di valmarino";"NULL";"45.990283,12.14653";"Veneto";"Italia";"NULL"
"Cisternino";"cisternino";"NULL";"40.74307,17.42536";"Puglia";"Italia";"NULL"
"Citerna";"citerna";"NULL";"43.498386562319,12.115623950958";"Umbria";"Italia";"NULL"
"Città Sant´Angelo";"città sant´angelo";"NULL";"42.5192407,14.0601666";"Abruzzo";"Italia";"NULL"
"Civita";"civita";"NULL";"39.840177,16.313095";"Calabria";"Italia";"NULL"
"Civita di Bagnoregio";"civita di bagnoregio";"NULL";"42.62708,12.09062";"Lazio";"Italia";"NULL"
