village;slug;code_postal;coordonnees;region;country;year
Totsukawa;totsukawa;;33.983333,135.8;Kansai;Japan;2010
Soni;soni;;34.5166,136.1166;Kansai;Japan;2009
Ojiro;ojiro;;35.455,134.535;Kansai;Japan;2012
Wazuka;wazuka;;34.47,135.55;Kansai;Japan;2013
Ine;ine;;35.39,135.17;Kansai;Japan;2008
Shirakawa;shirakawa;;36.270677,136.90278;Ch?bu;Japan;2006
Maze;maze;;35.8,137.25;Ch?bu;Japan;2007
Higashishirakawa;higashishirakawa;;35.65,137.3166;Ch?bu;Japan;2011
Matsuzaki;matsuzaki;;34.753056,138.778889;Ch?bu;Japan;2013
Takayama;takayama;;36.3666,138.3666;Ch?bu;Japan;2010
?shika;oshika;;35.578194,138.034;Ch?bu;Japan;2005
Ogawa;ogawa;;36.6166,137.9666;Ch?bu;Japan;2009
Nakagawa;nakagawa;;35.633,137.95;Ch?bu;Japan;2008
Nagiso;nagiso;;35.603611,137.608889;Ch?bu;Japan;2008
Kiso;kiso;;35.8425,137.691667;Ch?bu;Japan;2006
Ikeda;ikeda;;36.421389,137.874722;Ch?bu;Japan;2009
Hayakawa;hayakawa;;35.412778,138.363056;Ch?bu;Japan;2009
D?shi;doshi;;35.533333,139.033333;Ch?bu;Japan;2012
Sh?wa;showa;;36.633,139.05;Kant?;Japan;2009
Nakanoj?;nakanojo;;36.59,138.841111;Kant?;Japan;2009
Nakagawa;nakagawa;;36.738333,140.171389;Kant?;Japan;2013
?tama;otama;;37.534444,140.371111;T?hoku;Japan;2014
Mishima;mishima;;37.470278,139.644444;T?hoku;Japan;2012
Kitashiobara;kitashiobara;;37.655833,139.937778;T?hoku;Japan;2010
Iitate;iitate;;37.679167,140.735278;T?hoku;Japan;2010
?kura;okura;;38.7,140.233333;T?hoku;Japan;2009
Iide;iide;;38.045833,139.9875;T?hoku;Japan;2005
Kosaka;kosaka;;40.327778,140.746944;T?hoku;Japan;2009
Higashinaruse;higashinaruse;;39.3166,140.633;T?hoku;Japan;2009
Tsurui;tsurui;;43.233333,144.316667;Hokkaid?;Japan;2008
Shibetsu;shibetsu;;43.55,141.9166;Hokkaid?;Japan;2007
Ky?goku;kyogoku;;42.85,150.8833;Hokkaid?;Japan;2008
Kuromatsunai;kuromatsunai;;42.667806,140.307639;Hokkaid?;Japan;2011
Biei;biei;;43.588333,142.467222;Hokkaid?;Japan;2005
Akaigawa;akaigawa;;43.083472,140.813639;Hokkaid?;Japan;2011
Yoshino;yoshino;;34.396111,135.857778;Kansai;Japan;2012
Shinj?;shinjo;;35.1833,133.5666;Ch?goku;Japan;2009
Chizu;chizu;;35.265075,134.226638;Ch?goku;Japan;2010
Kamikatsu;kamikatsu;;33.888889,134.401944;Shikoku;Japan;2008
Kamijima;kamijima;;34.2575,133.204444;Shikoku;Japan;2009
Motoyama;motoyama;;33.756944,133.591667;Shikoku;Japan;2011
Umaji;umaji;;33.55,134.05;Shikoku;Japan;2008
Yame;yame;;33.2,130.55;Ky?sh?;Japan;2009
T?h?;toho;;33.4,130.8666;Ky?sh?;Japan;2012
Ojika;ojika;;33.201079,129.060032;Ky?sh?;Japan;2009
Kuma;kuma;;32.25,130.65;Ky?sh?;Japan;2013
Minamioguni;minamioguni;;33.083333,131.083333;Ky?sh?;Japan;2005
Takamori;takamori;;32.816667,131.116667;Ky?sh?;Japan;2013
Tsukahara;tsukahara;;33.183333,131.433333;Ky?sh?;Japan;2011
Aya;aya;;32,131.25;Ky?sh?;Japan;2009
Shiiba;shiiba;;32.46639,131.1575;Ky?sh?;Japan;2014
Takaharu;takaharu;;31.917,131;Ky?sh?;Japan;2006
Kikai;kikai;;28.316944,129.94;Ky?sh?;Japan;2009
Tarama;tarama;;24.669333,124.701583;Okinawa;Japan;2010
