"village";"slug";"code_postal";"coordonnees";"region";"country";"year"
"Abbateggio";"abbateggio";"NULL";"42.2245154,14.0136461";"Abruzzo";"Italia";"NULL"
"Acerenza";"acerenza";"NULL";"40.79251,15.9377";"Basilicata";"Italia";"NULL"
"Acquasparta";"acquasparta";"NULL";"42.687990,12.549858";"Umbria";"Italia";"NULL"
"Aieta";"aieta";"NULL";"39.928728,15.823567";"Calabria";"Italia";"NULL"
"Aiguèze";"aigueze";"30760";"44.3160186564,4.51739879151";"Languedoc-Roussillon";"France";"NULL"
"Ainhoa";"ainhoa";"64250";"43.2973870708,-1.48514354363";"Aquitaine";"France";"NULL"
"Aínsa";"ainsa";"NULL";"42.414694,0.140381";"NULL";"Espana";"NULL"
"Akaigawa";"akaigawa";"NULL";"43.083472,140.813639";"Hokkaid?";"Japan";"2011"
"Albarracín";"albarracin";"NULL";"40.407558,-1.443876";"NULL";"Espana";"NULL"
"Alberona";"alberona";"NULL";"41.43387,15.12409";"Puglia";"Italia";"NULL"
"Albori";"albori";"NULL";"40.67048,14.70838";"Campania";"Italia";"NULL"
"AlcaládelJúcar";"alcaladeljúcar";"NULL";"39.191786,-1.429577";"NULL";"Espana";"NULL"
"Almagro";"almagro";"NULL";"38.888431,-3.711781";"NULL";"Espana";"NULL"
"Alquézar";"alquezar";"NULL";"42.173010,0.025362";"NULL";"Espana";"NULL"
"Altomonte";"altomonte";"NULL";"39.6967,16.125386953354";"Calabria";"Italia";"NULL"
"Amatrice";"amatrice";"NULL";"42.629034,13.289651";"Lazio";"Italia";"NULL"
"Anento";"anento";"NULL";"41.648823,-0.889085";"NULL";"Espana";"NULL"
"Anghiari";"anghiari";"NULL";"43.54187,12.0605";"Toscana";"Italia";"NULL"
"Angles-sur-l'Anglin";"angles-sur-l-anglin";"86260";"46.6986976,0.896253717569";"Poitou-Charentes";"France";"NULL"
"Ansó";"anso";"NULL";"42.755658,-0.828961";"NULL";"Espana";"NULL"
"Ansouis";"ansouis";"84240";"43.7365172868,5.47136689464";"Provence-Alpes-Côte d'Azur";"France";"NULL"
"Anversa degli Abruzzi";"anversa degli abruzzi";"NULL";"41.995,13.80367";"Abruzzo";"Italia";"NULL"
"Apremont-sur-Allier";"apremont-sur-allier";"18150";"46.9110862876,3.01870489401";"Centre";"France";"NULL"
"Apricale";"apricale";"NULL";"43.881934,7.656083";"Liguria";"Italia";"NULL"
"Arlempdes";"arlempdes";"43490";"44.8669171298,3.90308376688";"Auvergne";"France";"NULL"
"Arqua Petrarca";"arqua petrarca";"NULL";"45.26996,11.71683";"Veneto";"Italia";"NULL"
"Arrone";"arrone";"NULL";"42.583959169488,12.768151760101";"Umbria";"Italia";"NULL"
"Ars-en-Ré";"ars-en-re";"17590";"46.2111995219,-1.51504354145";"Poitou-Charentes";"France";"NULL"
"Asolo";"asolo";"NULL";"45.79389,11.91247";"Veneto";"Italia";"NULL"
"Atrani";"atrani";"NULL";"40.63792,14.60386";"Campania";"Italia";"NULL"
"Atzara";"atzara";"NULL";"40.010787,9.073105";"Sardegna";"Italia";"NULL"
"Aubechies";"aubechies";"NULL";"50.567,3.667";"";"Belgique";"NULL"
"Aubeterre-sur-Dronne";"aubeterre-sur-dronne";"16390";"45.2609347512,0.16792049879";"Poitou-Charentes";"France";"NULL"
"Autoire";"autoire";"46400";"44.8583081491,1.82558835092";"Midi-Pyrénées";"France";"NULL"
"Auvillar";"auvillar";"82340";"44.0585023466,0.887408574561";"Midi-Pyrénées";"France";"NULL"
"Aya";"aya";"NULL";"32,131.25";"Ky?sh?";"Japan";"2009"
"Ayllón";"ayllon";"NULL";"41.420019,-3.376055";"NULL";"Espana";"NULL"
"Balazuc";"balazuc";"07120";"44.5082860556,4.37244725798";"Rhône-Alpes";"France";"NULL"
"BárcenaMayor";"barcenamayor";"NULL";"43.143767,-4.193300";"NULL";"Espana";"NULL"
"Barfleur";"barfleur";"50760";"49.6687321744,-1.26330967066";"Basse-Normandie";"France";"NULL"
"Barga";"barga";"NULL";"44.07523,10.48152";"Toscana";"Italia";"NULL"
"Bargème";"bargeme";"83840";"43.7301362684,6.5708673229";"Provence-Alpes-Côte d'Azur";"France";"NULL"
"Baume-les-Messieurs";"baume-les-messieurs";"39570";"46.7048674382,5.64562570074";"Franche Comté";"France";"NULL"
"Baux-de-Provence";"baux-de-provence";"13520";"43.745808725,4.80218162499";"Provence-Alpes-Côte d'Azur";"France";"NULL"
"Belcastel";"belcastel-12";"12390";"44.3944148302,2.33164860958";"Midi-Pyrénées";"France";"NULL"
"Belvès";"belves";"24170";"44.7462034463,0.980486487157";"Aquitaine";"France";"NULL"
"Bettona";"bettona";"NULL";"43.013371238522,12.484406232834";"Umbria";"Italia";"NULL"
"Beuvron-en-Auge";"beuvron-en-auge";"14430";"49.1960004062,-0.042455878979";"Basse-Normandie";"France";"NULL"
"Bevagna";"bevagna";"NULL";"42.93497,12.60933";"Umbria";"Italia";"NULL"
"Beynac-et-Cazenac";"beynac-et-cazenac";"24220";"44.8572702356,1.13222078955";"Aquitaine";"France";"NULL"
"Biei";"biei";"NULL";"43.588333,142.467222";"Hokkaid?";"Japan";"2005"
"Bienno";"bienno";"NULL";"45.93656,10.29458";"Lombardia";"Italia";"NULL"
"Blesle";"blesle";"43450";"45.3179155382,3.17686146037";"Auvergne";"France";"NULL"
"Bobbio";"bobbio";"NULL";"44.771721086403,9.3871736526489";"Emilia Romagna";"Italia";"NULL"
"Bonneval-sur-Arc";"bonneval-sur-arc";"73480";"45.3858269371,7.09178979521";"Rhône-Alpes";"France";"NULL"
"Borghetto";"borghetto";"NULL";"45.35744,10.71665";"Veneto";"Italia";"NULL"
"Borgio Verezzi";"borgio verezzi";"NULL";"44.158517256382,8.30925822258";"Liguria";"Italia";"NULL"
"Borgo antico di Sant´Antonio di Perugia ospit";"borgo antico di sant´antonio di perugia ospite onorario 2014/2015";"NULL";"43.114894,12.38843";"Umbria";"Italia";"NULL"
"Bosa";"bosa";"NULL";"40.297358480725,8.4996092319489";"Sardegna";"Italia";"NULL"
"Bova";"bova";"NULL";"37.99625,15.93291";"Calabria";"Italia";"NULL"
"Boville Ernica";"boville ernica";"NULL";"41.6427619,13.4732421";"Lazio";"Italia";"NULL"
"Bovino";"bovino";"NULL";"41.25089,15.34237";"Puglia";"Italia";"NULL"
"Brisighella";"brisighella";"NULL";"44.22263,11.77604";"Emilia Romagna";"Italia";"NULL"
"Brousse-le-Château";"brousse-le-chateau";"12480";"44.0062723535,2.63789868887";"Midi-Pyrénées";"France";"NULL"
"Brugnato";"brugnato";"NULL";"44.236644194241,9.7217631340027";"Liguria";"Italia";"NULL"
"Bruniquel";"bruniquel";"82800";"44.0521980341,1.66009719751";"Midi-Pyrénées";"France";"NULL"
"Bugnara";"bugnara";"NULL";"42.021840739812,13.861752748489";"Abruzzo";"Italia";"NULL"
"Buonconvento";"buonconvento";"NULL";"43.13432,11.48473";"Toscana";"Italia";"NULL"
"Calaceite";"calaceite";"NULL";"41.015848,0.187639";"NULL";"Espana";"NULL"
