village;slug;code_postal;coordonnees;region;country;year
Crupet;crupet;;50.3507246,4.9685315;;Belgique;
Celles;celles;;50.2298284,5.01543;;Belgique;
Chardeneux;chardeneux;;50.37182,5.35951;;Belgique;
Clermont-sur-Berwinne;clermont-sur-berwinne;;50.666236,5.8817619;;Belgique;
Fagnolle;fagnolle;;50.10493,4.56083;;Belgique;
Falaën;falaen;;50.2855873,4.7957727;;Belgique;
Gros-Fays;gros-fays;;49.8704212,4.9831444;;Belgique;
Laforêt;laforet;;49.8533323,4.9120261;;Belgique;
Lompret;lompret;;50.0723775,4.3830032;;Belgique;
Mélin;melin;;50.74271,4.84285;;Belgique;
Mozet;mozet;;50.4469403,5.0046676;;Belgique;
Nobressart;nobressart;;49.7399967,5.7178818;;Belgique;
Ny;ny;;50.284525,5.480682;;Belgique;
Olne;olne;;50.5900502,5.7466036;;Belgique;
Ragnies;ragnies;;50.3061069,4.2690998;;Belgique;
Sohier;sohier;;50.06833,5.07;;Belgique;
Soiron;soiron;;50.5931291,5.7835057;;Belgique;
Sosoye;sosoye;;50.3017611,4.7783031;;Belgique;
Soulme;soulme;;50.18873,4.73735;;Belgique;
Thon-Samson;thon-samson;;50.4633535,5.0145871;;Belgique;
Torgny;torgny;;49.5080762,5.4740405;;Belgique;
Vierves-sur-Viroin;vierves-sur-viroin;;50.0802842,4.635318;;Belgique;
Wéris;weris;;50.32612,5.53048;;Belgique;
Aubechies;aubechies;;50.567,3.667;;Belgique;
