village;slug;code_postal;coordonnees;region;country;year
Batiscan;batiscan;;46.5,-72.25;Québec;Canada;
Champlain;champlain;;46.450005,-72.350005;Québec;Canada;
Calixa-Lavallée;calixa_lavallee;;45.750005,-73.283338;Québec;Canada;
Tadoussac;tadoussac;;48.150005,-69.716672;Québec;Canada;
"Percé & l'Anse-à-Beaufils";perce;;48.473206,-64.3086;Québec;Canada;
Havre-Aubert;havre_aubert;;47.233333,-61.95;Québec;Canada;
L'Islet;islet;;47.100005,-70.350005;Québec;Canada;
Métis-sur-Mer;metis_sur_mer;;48.666672,-68.000005;Québec;Canada;
Saint-Vallier;saint_vallier;;46.883338,-70.816672;Québec;Canada;
Saint-Michel-de-Bellechasse;st_michel_de_bellechasse;;46.866672,-70.916672;Québec;Canada;
Saint-Antoine-de-Tilly;st_antoine_de_tilly;;46.666672,-71.583338;Québec;Canada;
Port-au-Persil;port_au_persil;;47.833338,-69.883338;Québec;Canada;
Lotbinière;lotbiniere;;46.616672,-71.933338;Québec;Canada;
Cap-à-l'Aigle;cap_a_l_aigle;;47.66167,-70.0975;Québec;Canada;
"Les Éboulements";les_eboulements;;47.483338,-70.316672;Québec;Canada;
Saint-Irénée;st_irenee;;47.566672,-70.200005;Québec;Canada;
Stanstead;stanstead;;45.016672,-72.100005;Québec;Canada;
"North Hatley";north_hatley;;45.274524,-71.973925;Québec;Canada;
Frelighsburg;frelighsburg;;45.055485,-72.83751;Québec;Canada;
Cacouna;cacouna;;47.916672,-69.500005;Québec;Canada;
Saint-Pacôme;saint_pacome;;47.400005,-69.950005;Québec;Canada;
Kamouraska;kamouraska;;47.563889,-69.86263;Québec;Canada;
Notre-Dame-du-Portage;n_d_du_portage;;47.763042,-69.60959;Québec;Canada;
Sainte-Rose-du-Nord;sainte_rose_du_nord;;48.383338,-70.583338;Québec;Canada;
L'Anse-Saint-Jean;anse_st_jean;;48.196802,-70.248403;Québec;Canada;
"Saint-Jean-de l'Île-d'Orléans";saint_jean_io;;46.916672,-70.900005;Québec;Canada;
Saint-Laurent-de-l'Île-d'Orléans;saint_laurent_io;;46.866672,-71.016672;Québec;Canada;
Sainte-Pétronille;sainte_petronille;;46.850005,-71.133338;Québec;Canada;
Wendake;wendake;;46.868818,-71.363583;Québec;Canada;
Neuville;neuville;;46.700005,-71.583338;Québec;Canada;
Cap-Santé;cap_sante;;46.666672,-71.783338;Québec;Canada;
Deschambault-Grondines;deschambault;;46.650005,-71.933338;Québec;Canada;
Saint-Denis-sur-Richelieu;sdsr;;45.783338,-73.150005;Québec;Canada;
Saint-Antoine-sur-Richelieu;sasr;;45.787637,-73.166542;Québec;Canada;
Saint-Marc-sur-Richelieu;smsr;;45.683338,-73.200005;Québec;Canada;
