village;slug;code_postal;coordonnees;region;country;year
Amatrice;amatrice;;42.629034,13.289651;Lazio;Italia;
"Vallo di Nera";"vallo di nera";;42.75574,12.86526;Umbria;Italia;
Trevi;trevi;;42.87664,12.74522;Umbria;Italia;
Torgiano;torgiano;;43.025788406071,12.433873414993;Umbria;Italia;
Stroncone;stroncone;;42.499187404058,12.66338467598;Umbria;Italia;
Spello;spello;;42.99107992976,12.67245054245;Umbria;Italia;
"San Gemini";"san gemini";;42.609706213394,12.542942762375;Umbria;Italia;
Panicale;panicale;;43.029043280902,12.098457813263;Umbria;Italia;
Paciano;paciano;;43.0234,12.06949;Umbria;Italia;
Norcia;norcia;;42.7942,13.09634;Umbria;Italia;
Montone;montone;;43.36248,12.32741;Umbria;Italia;
Montefalco;montefalco;;42.89333,12.65005;Umbria;Italia;
"Monte Castello di Vibio";"monte castello di vibio";;42.840738383803,12.352334260941;Umbria;Italia;
"Massa Martana";"massa martana";;42.775164628485,12.524038553238;Umbria;Italia;
"Lugnano in Teverina";"lugnano in teverina";;42.574012908489,12.330651283264;Umbria;Italia;
Giove;giove;;42.510687821379,12.33161687851;Umbria;Italia;
Deruta;deruta;;42.9814074,12.4161111;Umbria;Italia;
Corciano;corciano;;43.12816,12.28616;Umbria;Italia;
Citerna;citerna;;43.498386562319,12.115623950958;Umbria;Italia;
"Castiglione del Lago";"castiglione del lago";;43.12798,12.04674;Umbria;Italia;
"Borgo antico di Sant´Antonio di Perugia ospit";"borgo antico di sant´antonio di perugia ospite onorario 2014/2015";;43.114894,12.38843;Umbria;Italia;
Bevagna;bevagna;;42.93497,12.60933;Umbria;Italia;
Bettona;bettona;;43.013371238522,12.484406232834;Umbria;Italia;
Arrone;arrone;;42.583959169488,12.768151760101;Umbria;Italia;
Acquasparta;acquasparta;;42.687990,12.549858;Umbria;Italia;
Visso;visso;;42.9303,13.0887;Marche;Italia;
Treia;treia;;43.31182199321,13.311266899109;Marche;Italia;
Servigliano;servigliano;;43.080741,13.492136;Marche;Italia;
Sarnano;sarnano;;43.034258563838,13.296825885773;Marche;Italia;
"San Ginesio";"san ginesio";;43.10743,13.32608;Marche;Italia;
Offida;offida;;42.93726031465,13.698492050171;Marche;Italia;
Offagna;offagna;;43.527226,13.441536;Marche;Italia;
Moresco;moresco;;43.08529,13.7301;Marche;Italia;
Montelupone;montelupone;;43.34291,13.57008;Marche;Italia;
"Montefiore dell´Aso";"montefiore dell´aso";;43.04972,13.75;Marche;Italia;
Montecosaro;montecosaro;;43.3173965,13.637735;Marche;Italia;
Montefabbri;montefabbri;;43.8124575,12.6986185;Marche;Italia;
Montecassiano;montecassiano;;43.363596951441,13.436161279678;Marche;Italia;
"Monte Grimano Terme";"monte grimano terme";;43.865487,12.473048;Marche;Italia;
Mondolfo;mondolfo;;43.752497,13.093371;Marche;Italia;
Mondavio;mondavio;;43.675508,12.969782;Marche;Italia;
"Macerata Feltria";"macerata feltria";;43.803294,12.440870;Marche;Italia;
Grottammare;grottammare;;42.990091109965,13.869777917862;Marche;Italia;
Gradara;gradara;;43.93891,12.77125;Marche;Italia;
Frontino;frontino;;43.764642,12.378031;Marche;Italia;
Corinaldo;corinaldo;;43.64982,13.04836;Marche;Italia;
Suvereto;suvereto;;43.07846,10.67935;Toscana;Italia;
Cingoli;cingoli;;43.375927470487,13.203206062317;Marche;Italia;
Sovana;sovana;;42.6577,11.636;Toscana;Italia;
"Scarperia e San Piero borgo di Scarperia";"scarperia e san piero borgo di scarperia";;43.99313,11.35497;Toscana;Italia;
"San Casciano dei Bagni";"san casciano dei bagni";;42.87172,11.87531;Toscana;Italia;
"Porto Ercole";"porto ercole";;42.393380,11.203645;Toscana;Italia;
Poppi;poppi;;43.7326,11.76344;Toscana;Italia;
Pitigliano;pitigliano;;42.63627,11.67445;Toscana;Italia;
"Ortignano Raggiolo";"ortignano raggiolo";;43.681469,11.752556;Toscana;Italia;
Montescudaio;montescudaio;;43.32688,10.62647;Toscana;Italia;
Montemerano;montemerano;;42.588914,11.518190;Toscana;Italia;
"Loro Ciuffenna";"loro ciuffenna";;43.5926435,11.6328913;Toscana;Italia;
"Giglio Castello";"giglio castello";;42.36705,10.9;Toscana;Italia;
"Coreglia Antelminelli";"coreglia antelminelli";;44.06493,10.52668;Toscana;Italia;
Cetona;cetona;;42.96522,11.90045;Toscana;Italia;
"Castiglione di Garfagnana";"castiglione di garfagnana";;44.152128,10.411856;Toscana;Italia;
"Castelfranco Piandiscò borgo di Castelfranco";"castelfranco piandiscò borgo di castelfranco";;43.62121,11.55704;Toscana;Italia;
Buonconvento;buonconvento;;43.13432,11.48473;Toscana;Italia;
Barga;barga;;44.07523,10.48152;Toscana;Italia;
Anghiari;anghiari;;43.54187,12.0605;Toscana;Italia;
Vigoleno;vigoleno;;44.8166,9.90174;"Emilia Romagna";Italia;
"San Leo";"san leo";;43.8964637,12.3432723;"Emilia Romagna";Italia;
"San Giovanni in Marignano";"san giovanni in marignano";;43.939984,12.710056;"Emilia Romagna";Italia;
Montegridolfo;montegridolfo;;43.85752,12.69123;"Emilia Romagna";Italia;
"Montefiore Conca";"montefiore conca";;43.89,12.61215;"Emilia Romagna";Italia;
Gualtieri;gualtieri;;44.902092,10.631404;"Emilia Romagna";Italia;
Fontanellato;fontanellato;;44.881843,10.168723;"Emilia Romagna";Italia;
Fiumalbo;fiumalbo;;44.179988,10.647504;"Emilia Romagna";Italia;
Dozza;dozza;;44.35937,11.62888;"Emilia Romagna";Italia;
Compiano;compiano;;44.49814,9.66343;"Emilia Romagna";Italia;
Castell’Arquato;castell’arquato;;44.85337,9.8707;"Emilia Romagna";Italia;
Brisighella;brisighella;;44.22263,11.77604;"Emilia Romagna";Italia;
Bobbio;bobbio;;44.771721086403,9.3871736526489;"Emilia Romagna";Italia;
Venzone;venzone;;46.334077,13.139616;"Friuli Venezia Giulia";Italia;
"Valvasone Arzene borgo di Valvasone";"valvasone arzene borgo di valvasone";;45.996007589496,12.869045734406;"Friuli Venezia Giulia";Italia;
"Trivignano Udinese Borgo di Clauiano";"trivignano udinese borgo di clauiano";;45.90664,13.3107;"Friuli Venezia Giulia";Italia;
"Travesio Borgo di Toppo";"travesio borgo di toppo";;46.074183,13.120193;"Friuli Venezia Giulia";Italia;
"Sesto al Reghena";"sesto al reghena";;45.847029,12.815548;"Friuli Venezia Giulia";Italia;
Polcenigo;polcenigo;;46.03061,12.501901;"Friuli Venezia Giulia";Italia;
Poffabro;poffabro;;46.21324,12.72677;"Friuli Venezia Giulia";Italia;
"Gradisca d´Isonzo";"gradisca d´isonzo";;45.89174,13.4913;"Friuli Venezia Giulia";Italia;
Fagagna;fagagna;;46.11381,13.09208;"Friuli Venezia Giulia";Italia;
Cordovado;cordovado;;45.84322,12.88535;"Friuli Venezia Giulia";Italia;
Portobuffole;portobuffole;;45.85628,12.5374;Veneto;Italia;
Montagnana;montagnana;;45.232395,11.467041;Veneto;Italia;
"Cison di Valmarino";"cison di valmarino";;45.990283,12.14653;Veneto;Italia;
Borghetto;borghetto;;45.35744,10.71665;Veneto;Italia;
Asolo;asolo;;45.79389,11.91247;Veneto;Italia;
"Arqua Petrarca";"arqua petrarca";;45.26996,11.71683;Veneto;Italia;
Vipiteno;vipiteno;;46.89915,11.4312;"Trentino Alto Adige";Italia;
"San Lorenzo Dorsino borgo di San Lorenzo in B";"san lorenzo dorsino borgo di san lorenzo in banale";;46.076959445239,10.907084941864;"Trentino Alto Adige";Italia;
Rango;rango;;46.02513,10.83781;"Trentino Alto Adige";Italia;
Mezzano;mezzano;;46.15563,11.809074;"Trentino Alto Adige";Italia;
Glorenza;glorenza;;46.67095,10.55489;"Trentino Alto Adige";Italia;
Egna;egna;;46.311911,11.272688;"Trentino Alto Adige";Italia;
Chiusa;chiusa;;46.63967,11.56491;"Trentino Alto Adige";Italia;
"Canale di Tenno";"canale di tenno";;45.92913,10.82454;"Trentino Alto Adige";Italia;
Zavattarello;zavattarello;;44.86841,9.26525;Lombardia;Italia;
"Tremosine sul Garda";"tremosine sul garda";;45.7715586,10.7601975;Lombardia;Italia;
"Tremezzina borgo di Tremezzo";"tremezzina borgo di tremezzo";;45.984393952797,9.2203617095947;Lombardia;Italia;
Soncino;soncino;;45.4011111,9.8709629;Lombardia;Italia;
"San Benedetto Po";"san benedetto po";;45.0392407,10.9325185;Lombardia;Italia;
Sabbioneta;sabbioneta;;44.999873,10.489601;Lombardia;Italia;
Porana;porana;;45.036572298071,9.0483999252319;Lombardia;Italia;
Pomponesco;pomponesco;;44.938071,10.597572;Lombardia;Italia;
Morimondo;morimondo;;45.355372,8.954648;Lombardia;Italia;
"Monte Isola";"monte isola";;45.71641,10.07996;Lombardia;Italia;
Lovere;lovere;;45.81045,10.06927;Lombardia;Italia;
