village;slug;code_postal;coordonnees;region;country;year
Aiguèze;aigueze;30760;44.3160186564,4.51739879151;Languedoc-Roussillon;France;
Ainhoa;ainhoa;64250;43.2973870708,-1.48514354363;Aquitaine;France;
Angles-sur-l'Anglin;angles-sur-l-anglin;86260;46.6986976,0.896253717569;Poitou-Charentes;France;
Ansouis;ansouis;84240;43.7365172868,5.47136689464;"Provence-Alpes-Côte d'Azur";France;
Apremont-sur-Allier;apremont-sur-allier;18150;46.9110862876,3.01870489401;Centre;France;
Arlempdes;arlempdes;43490;44.8669171298,3.90308376688;Auvergne;France;
Ars-en-Ré;ars-en-re;17590;46.2111995219,-1.51504354145;Poitou-Charentes;France;
Aubeterre-sur-Dronne;aubeterre-sur-dronne;16390;45.2609347512,0.16792049879;Poitou-Charentes;France;
Autoire;autoire;46400;44.8583081491,1.82558835092;Midi-Pyrénées;France;
Auvillar;auvillar;82340;44.0585023466,0.887408574561;Midi-Pyrénées;France;
Balazuc;balazuc;07120;44.5082860556,4.37244725798;Rhône-Alpes;France;
Barfleur;barfleur;50760;49.6687321744,-1.26330967066;Basse-Normandie;France;
Bargème;bargeme;83840;43.7301362684,6.5708673229;"Provence-Alpes-Côte d'Azur";France;
Baume-les-Messieurs;baume-les-messieurs;39570;46.7048674382,5.64562570074;"Franche Comté";France;
Baux-de-Provence;baux-de-provence;13520;43.745808725,4.80218162499;"Provence-Alpes-Côte d'Azur";France;
Belcastel;belcastel-12;12390;44.3944148302,2.33164860958;Midi-Pyrénées;France;
Belvès;belves;24170;44.7462034463,0.980486487157;Aquitaine;France;
Beuvron-en-Auge;beuvron-en-auge;14430;49.1960004062,-0.042455878979;Basse-Normandie;France;
Beynac-et-Cazenac;beynac-et-cazenac;24220;44.8572702356,1.13222078955;Aquitaine;France;
Blesle;blesle;43450;45.3179155382,3.17686146037;Auvergne;France;
Bonneval-sur-Arc;bonneval-sur-arc;73480;45.3858269371,7.09178979521;Rhône-Alpes;France;
Brousse-le-Château;brousse-le-chateau;12480;44.0062723535,2.63789868887;Midi-Pyrénées;France;
Bruniquel;bruniquel;82800;44.0521980341,1.66009719751;Midi-Pyrénées;France;
Camon;camon-09;09500;43.021523452,1.96173407084;Midi-Pyrénées;France;
Candes-Saint-Martin;candes-saint-martin;37500;47.2026345011,0.0740845875144;Centre;France;
Capdenac;capdenac;46100;44.5849536866,2.06705309524;Midi-Pyrénées;France;
Cardaillac;cardaillac;46100;44.6824882751,2.0138257443;Midi-Pyrénées;France;
Carennac;carennac;46110;44.9054973553,1.72378675129;Midi-Pyrénées;France;
Castelnau-de-Montmiral;castelnau-de-montmiral;81140;43.9867805665,1.78310029174;Midi-Pyrénées;France;
Castelnaud-la-Chapelle;castelnaud-la-chapelle;24250;44.8017266303,1.13058711758;Aquitaine;France;
Castelnou;castelnou;66300;42.6193831125,2.70904889838;Languedoc-Roussillon;France;
Charroux;charroux-03;03140;46.1823286094,3.16415034202;Auvergne;France;
Château-Chalon;chateau-chalon;39210;46.7594016188,5.64816991256;"Franche Comté";France;
Châteauneuf;chateauneuf-21;21320;47.2193918621,4.65146586699;Bourgogne;France;
Coaraze;coaraze;06390;43.8664901786,7.29913349222;"Provence-Alpes-Côte d'Azur";France;
Collonges-la-Rouge;collonges-la-rouge;19500;45.0661814484,1.65335823441;Limousin;France;
Comprégnac;compregnac;12100;44.0964783684,2.97961913091;Midi-Pyrénées;France;
Conques;conques;12320;44.5952473002,2.4201643341;Midi-Pyrénées;France;
Crissay-sur-Manse;crissay-sur-manse;37220;47.1665198004,0.494306101792;Centre;France;
Curemonte;curemonte;19500;45.0035299076,1.75465208697;Limousin;France;
Domme;domme;24250;44.8035117633,1.24433028521;Aquitaine;France;
Eguisheim;eguisheim;68420;48.0371183049,7.30052876111;Alsace;France;
Estaing;estaing-12;12190;44.5694224223,2.68750805663;Midi-Pyrénées;France;
Eus;eus;66500;42.657654474,2.44661138862;Languedoc-Roussillon;France;
Flavigny-sur-Ozerain;flavigny-sur-ozerain;21150;47.5087961778,4.51921128225;Bourgogne;France;
Fourcès;fources;32250;43.9951905461,0.228969106645;Midi-Pyrénées;France;
Gargilesse-Dampierre;gargilesse-dampierre;36190;46.5053300669,1.62060670843;Centre;France;
Gassin;gassin;83580;43.2392065224,6.58617518642;"Provence-Alpes-Côte d'Azur";France;
Gerberoy;gerberoy;60380;49.5385653619,1.84224948917;Picardie;France;
Gordes;gordes;84220;43.909019241,5.19801978618;"Provence-Alpes-Côte d'Azur";France;
Gourdon;gourdon-06;06620;43.7242493778,6.96356065093;"Provence-Alpes-Côte d'Azur";France;
Hunawihr;hunawihr;68150;48.1824285926,7.30403809307;Alsace;France;
Hunspach;hunspach;67250;48.9578637227,7.93587412104;Alsace;France;
"La Bastide-Clairence";bastide-clairence;64240;43.417654264,-1.23211183617;Aquitaine;France;
"La Couvertoirade";couvertoirade;12230;43.9292282018,3.28890121279;Midi-Pyrénées;France;
"La Flotte";flotte;17630;46.1793660462,-1.32163012232;Poitou-Charentes;France;
"La Garde-Adhémar";garde-adhemar;26700;44.3910321281,4.74995521601;Rhône-Alpes;France;
"La Grave";grave-05;05320;45.0601102401,6.28406977587;"Provence-Alpes-Côte d'Azur";France;
"La Roche-Guyon";roche-guyon;95780;49.0874855412,1.63442620986;Île-de-France;France;
"La Roque-Gageac";roque-gageac;24250;44.8177613658,1.19861057115;Aquitaine;France;
"La Roque-sur-Cèze";roque-sur-ceze;30200;44.1901881744,4.51851871798;Languedoc-Roussillon;France;
Lagrasse;lagrasse;11220;43.0957230349,2.60436046295;Languedoc-Roussillon;France;
Larressingle;larressingle;32100;43.9368488739,0.315969643669;Midi-Pyrénées;France;
Lautrec;lautrec;81440;43.7052468491,2.12929403349;Midi-Pyrénées;France;
Lauzerte;lauzerte;82110;44.2642995725,1.12713270139;Midi-Pyrénées;France;
Lavardens;lavardens;32360;43.7654411264,0.519747830067;Midi-Pyrénées;France;
Lavardin;lavardin-41;41800;47.7369568868,0.886026450993;Centre;France;
Lavaudieu;lavaudieu;43100;45.2627483752,3.45499387355;Auvergne;France;
"Le Bec-Hellouin";bec-hellouin;27800;49.2249212859,0.726506401236;Haute-Normandie;France;
"Le Faou";faou;29590;48.3059334041,-4.1421494556;Bretagne;France;
"Le Poët-Laval";poet-laval;26160;44.5259749457,5.00162993339;Rhône-Alpes;France;
Limeuil;limeuil;24510;44.8968110738,0.895947678696;Aquitaine;France;
Locronan;locronan;29180;48.0978281716,-4.21322277368;Bretagne;France;
Lods;lods;25930;47.0494709187,6.25575647951;"Franche Comté";France;
Loubressac;loubressac;46130;44.8660989972,1.79065883803;Midi-Pyrénées;France;
Lourmarin;lourmarin;84160;43.7780333839,5.36616174066;"Provence-Alpes-Côte d'Azur";France;
Lyons-la-Forêt;lyons-la-foret;27480;49.3936970778,1.47355856778;Haute-Normandie;France;
Ménerbes;menerbes;84560;43.8243710342,5.22087170856;"Provence-Alpes-Côte d'Azur";France;
Minerve;minerve;34210;43.3629052396,2.72160547585;Languedoc-Roussillon;France;
Mirmande;mirmande;26270;44.6886093237,4.844585911;Rhône-Alpes;France;
Mittelbergheim;mittelbergheim;67140;48.3941967219,7.44334636249;Alsace;France;
Moncontour;moncontour-22;22510;48.3581980369,-2.63225581837;Bretagne;France;
Monestiés;monesties;81640;44.0787915889,2.09845237087;Midi-Pyrénées;France;
Monflanquin;monflanquin;47150;44.5202002935,0.758095744834;Aquitaine;France;
Monpazier;monpazier;24540;44.6807686841,0.894082333283;Aquitaine;France;
Montbrun-les-Bains;montbrun-les-bains;26570;44.1877148289,5.43426917221;Rhône-Alpes;France;
Montclus;montclus-30;30630;44.2694461878,4.41823005524;Languedoc-Roussillon;France;
Montpeyroux;montpeyroux-63;63114;45.6253241922,3.20376168016;Auvergne;France;
Montréal;montreal-32;32250;43.9513728334,0.199673132444;Midi-Pyrénées;France;
Montrésor;montresor;37460;47.1526392935,1.20166068898;Centre;France;
Montsoreau;montsoreau;49730;47.2135013304,0.0519492185178;"Pays de la Loire";France;
Mornac-sur-Seudre;mornac-sur-seudre;17113;45.7079105893,-1.02132531485;Poitou-Charentes;France;
Mortemart;mortemart;87330;46.0484465758,0.95503235222;Limousin;France;
Mosset;mosset;66500;42.6739429511,2.30444228005;Languedoc-Roussillon;France;
Moustiers-Sainte-Marie;moustiers-sainte-marie;04360;43.8383278559,6.22818909628;"Provence-Alpes-Côte d'Azur";France;
Najac;najac;12270;44.211295506,1.96305922109;Midi-Pyrénées;France;
Noyers;noyers-89;89310;47.6952215995,3.98085741528;Bourgogne;France;
Oingt;oingt;69620;45.9483312216,4.58594811188;Rhône-Alpes;France;
Olargues;olargues;34390;43.540135455,2.91772316116;Languedoc-Roussillon;France;
Olette;olette;66360;42.5955754383,2.24262771832;Languedoc-Roussillon;France;
Parfondeval;parfondeval-02;02360;49.7443573688,4.16145285338;Picardie;France;
Pérouges;perouges;01800;45.8803945768,5.17955874977;Rhône-Alpes;France;
Pesmes;pesmes;70140;47.2915778298,5.57274698135;"Franche Comté";France;
Piana;piana;20115;42.2260344023,8.62798195907;Corse;France;
Pradelles;pradelles-43;43420;44.7650507799,3.87177102948;Auvergne;France;
Prévenchères;prevencheres;48800;44.5189016289,3.92049351127;Languedoc-Roussillon;France;
Pujols;pujols-47;47300;44.3705410959,0.698420769964;Aquitaine;France;
Puycelsi;puycelsi;81140;43.9765161784,1.70709054548;Midi-Pyrénées;France;
Riquewihr;riquewihr;68340;48.1787804995,7.27259187393;Alsace;France;
Rochefort-en-Terre;rochefort-en-terre;56220;47.6983579224,-2.34412952507;Bretagne;France;
Rodemack;rodemack;57570;49.4637445576,6.24710550815;Lorraine;France;
Roussillon;roussillon-84;84220;43.9012816878,5.29201885718;"Provence-Alpes-Côte d'Azur";France;
Saint-Amand-de-Coly;saint-amand-de-coly;24290;45.0521923341,1.24653200545;Aquitaine;France;
Saint-Antoine-l'Abbaye;saint-antoine-l-abbaye;38160;45.1722353559,5.21609050981;Rhône-Alpes;France;
Saint-Benoît-du-Sault;saint-benoît-du-sault;36170;46.4476641903,1.39936861789;Centre;France;
Saint-Bertrand-de-Comminges;saint-bertrand-de-comminges;31510;43.0239495224,0.552413106275;Midi-Pyrénées;France;
Saint-Céneri-le-Gérei;saint-ceneri-le-gerei;61250;48.389040252,-0.0400378632747;Basse-Normandie;France;
